id,split,label,snr_target,noise_type,homology,n,p_mean,p_med,p95,p_max
ad3d8eb9307149aa8602baa80d330bd1,train,1,8.0,1overf,H0,2018,inf,0.27481529116630554,0.3866167962551117,inf
ad3d8eb9307149aa8602baa80d330bd1,train,1,8.0,1overf,H1,824,0.05798304003202221,0.034275755286216736,0.17699646949768066,2.1537007987499237
2c3c3ce4343f4415a0eca9cb138a0c19,train,1,5.0,1overf,H0,2033,inf,0.4326039254665375,0.5944609642028809,inf
2c3c3ce4343f4415a0eca9cb138a0c19,train,1,5.0,1overf,H1,1119,0.07335893496857677,0.05304235219955444,0.2165541648864746,0.4756777286529541
b74f4d520bf740179e02041f981fa793,test,1,6.0,1overf,H0,994,inf,0.3185211569070816,0.44333910942077637,inf
b74f4d520bf740179e02041f981fa793,test,1,6.0,1overf,H1,358,0.1130886161960037,0.09095916152000427,0.2900609076023102,1.9454353749752045
e75a110db22b4d9687b5ce94216adcd5,test,1,3.0,white,H0,3000,inf,0.6479053199291229,0.8702613115310669,inf
e75a110db22b4d9687b5ce94216adcd5,test,1,3.0,white,H1,2447,0.0791547289906008,0.06039118766784668,0.21171164512634277,1.218956172466278
e7a03b2257c34d0eb814fa63fbb2e1af,train,1,4.0,1overf,H0,3000,inf,0.4895535409450531,0.6504279971122742,inf
e7a03b2257c34d0eb814fa63fbb2e1af,train,1,4.0,1overf,H1,2056,0.07345261569732822,0.055423736572265625,0.19572430849075317,1.697098970413208
94464a51678e4bdfa247bea689df1d55,train,1,4.0,1overf,H0,2030,inf,0.5394075214862823,0.7376378774642944,inf
94464a51678e4bdfa247bea689df1d55,train,1,4.0,1overf,H1,1098,0.08816921105693164,0.06147658824920654,0.2596489191055298,0.8028186559677124
afad5edbfb1b453c98bfb6c4b8017f79,test,1,3.0,1overf,H0,2024,inf,0.6497457027435303,0.9045151472091675,inf
afad5edbfb1b453c98bfb6c4b8017f79,test,1,3.0,1overf,H1,1454,0.09184296550088276,0.06793683767318726,0.2549218535423279,1.4245036244392395
b0f00e658d1b491ba5fcd53b4447034c,train,1,6.0,1overf,H0,3000,inf,0.37114137411117554,0.4885839521884918,inf
b0f00e658d1b491ba5fcd53b4447034c,train,1,6.0,1overf,H1,1541,0.0688424520025309,0.04902547597885132,0.19456073641777039,2.1739294826984406
3e8a6c5592a44b23a64cf647ba5a4cf6,train,1,10.0,white,H0,3000,inf,0.29094797372817993,0.38522645831108093,inf
3e8a6c5592a44b23a64cf647ba5a4cf6,train,1,10.0,white,H1,1367,0.05095144133979418,0.03193250298500061,0.15463879704475403,2.210139513015747
1540c7a3d2504d688c2a2ca6ed6cfd2e,test,1,3.0,1overf,H0,2006,inf,0.8065498173236847,1.0565028190612793,inf
1540c7a3d2504d688c2a2ca6ed6cfd2e,test,1,3.0,1overf,H1,1426,0.10042855548992398,0.07478943467140198,0.2877163887023926,0.723480224609375
2be16da211bf4f298cd9a82f0d6eef05,val,1,2.0,1overf,H0,989,inf,1.062490701675415,1.344103217124939,inf
2be16da211bf4f298cd9a82f0d6eef05,val,1,2.0,1overf,H1,866,0.1239992584559989,0.10204750299453735,0.3080700635910034,0.870499849319458
9c5c051e28b34a6a81e3a8c4ae7a7b94,train,1,8.0,white,H0,3000,inf,0.3659166693687439,0.4907391369342804,inf
